,ID,Name,Type,Price,Serving size,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbs,Dietary Fiber,Sugar,Protein,Total Carbs Nutrition Point,Total Fat Nutrition Point,Protein Nutrition Point,Sugar Nutrition Point,Sodium Nutrition Point,Trans Fat Nutrition Point,Saturated Fat Nutrition Point,Cholesterol Nutrition Point,Dietary Fiber Nutrition Point,Nutrition Value,Coefficient,1st Day Variable Name,2nd Day Variable Name,3rd Day Variable Name
0,TP_M_1,Classic_Burger,Main,6.217499999999999,1 Bugerbeef Patty,580,27.0,8.0,0.5,80,1700,59,7,11,26,0.01474864278559386,0.9592380151471092,0.7402610104889075,0.8932038834951457,0.3227091633466135,0.96875,0.7777777777777778,0.9430604982206405,0.7333333333333334,6.353082324595121,1.0218065660788294,x_1_1_1_1,x_1_1_1_2,x_1_1_1_3
1,TP_M_2,Cheese_Burger,Main,6.967499999999999,1 Bugerbeef Patty,640,32.0,11.0,0.5,95,1810,59,7,11,29,0.01474864278559386,0.9991599341372548,0.7725092255689224,0.8932038834951457,0.2788844621513944,0.96875,0.6944444444444444,0.9323843416370107,0.7333333333333334,6.287418267553099,0.9023922881310513,x_1_1_2_1,x_1_1_2_2,x_1_1_2_3
2,TP_M_3,Classic_Chicken_Burger,Main,7.4925,1 Burger,670,22.0,7.0,0.0,110,1690,67,4,23,45,0.038528840471668234,0.8661926644308212,0.9178509255608854,0.7766990291262136,0.3266932270916334,1.0,0.8055555555555556,0.9217081850533808,0.41904761904761906,6.072276046337777,0.810447253431802,x_1_1_3_1,x_1_1_3_2,x_1_1_3_3
3,TP_M_4,Classic_Veggie_Burger,Main,6.7425,1 Burgerbeef Patty,580,30.0,3.5,0.0,15,1330,59,12,6,25,0.01474864278559386,0.9902479438116828,0.7292853499299607,0.941747572815534,0.4701195219123506,1.0,0.9027777777777778,0.9893238434163701,1.0,7.03825065244927,1.04386364886159,x_1_1_4_1,x_1_1_4_2,x_1_1_4_3
4,TP_M_5,Blue_Bacon_Burger,Main,10.4925,1 Burger,810,52.0,22.0,1.0,150,2030,39,5,7,36,0.0007775798525300276,0.6374366248343476,0.8425802447666401,0.9320388349514563,0.19123505976095612,0.9375,0.38888888888888895,0.8932384341637011,0.5238095238095238,5.347505191028044,0.5096502445583078,x_1_1_5_1,x_1_1_5_2,x_1_1_5_3
5,TP_M_6,Spicy_Grilled_Cheese,Main,5.9925,1 Sandwich,880,53.0,33.0,2.0,140,1880,70,4,1,25,0.05349344184310307,0.6074405042734181,0.7292853499299607,0.9902912621359223,0.250996015936255,0.875,0.08333333333333337,0.900355871886121,0.41904761904761906,4.909243398385732,0.8192312721544819,x_1_1_6_1,x_1_1_6_2,x_1_1_6_3
6,TP_M_7,Classic_Poutine,Main,6.217499999999999,320,880,51.0,16.0,0.0,80,2510,79,6,0,24,0.12895597460968558,0.6672769886608827,0.718212362798579,1.0,0.0,1.0,0.5555555555555556,0.9430604982206405,0.6285714285714286,5.641632808416772,0.9073796233883028,x_1_1_7_1,x_1_1_7_2,x_1_1_7_3
7,TP_M_8,Mushroom_Pot_Pie,Main,6.7425,1 pie,610,38.0,10.0,0.5,60,730,58,12,16,12,0.012966992160795708,0.9677631330455536,0.5811039692745327,0.8446601941747574,0.7091633466135459,0.96875,0.7222222222222222,0.9572953736654805,1.0,6.763925231156888,1.003177639029572,x_1_1_8_1,x_1_1_8_2,x_1_1_8_3
8,TP_M_9,Steak&Mushroom_Pot_Pie,Main,5.9925,1 pie,480,27.0,10.0,0.0,55,720,42,6,9,21,0.001270241530667501,0.9592380151471092,0.6845035072782051,0.912621359223301,0.7131474103585658,1.0,0.7222222222222222,0.9608540925266904,0.6285714285714286,6.58242827685819,1.09844443502014,x_1_1_9_1,x_1_1_9_2,x_1_1_9_3
9,TP_M_10,Spinach_Salad,Main,6.3675,26,790,71.0,15.0,0.0,5,460,16,5,7,24,1.0121950100752859e-05,0.16777943586555952,0.718212362798579,0.9320388349514563,0.8167330677290836,1.0,0.5833333333333334,0.99644128113879,0.5238095238095238,5.738357961576427,0.901194811397947,x_1_1_10_1,x_1_1_10_2,x_1_1_10_3
10,TP_M_11,Meatball_Sub,Main,8.2425,1 Sandwich,840,54.0,27.0,1.5,210,1830,48,8,6,40,0.0032171216555980037,0.5774393181429941,0.8784144769134321,0.941747572815534,0.27091633466135456,0.90625,0.25,0.8505338078291815,0.8380952380952381,5.516613870113332,0.6692889135715295,x_1_1_11_1,x_1_1_11_2,x_1_1_11_3
11,TP_M_12,Street_Corn_Burrito,Main,7.717499999999999,1 Burrito,740,29.0,9.0,0.0,10,1770,31,8,99,23,0.00019291821507336747,0.9822051874648715,0.7070514819885939,0.03883495145631077,0.29482071713147406,1.0,0.75,0.9928825622775801,0.8380952380952381,5.604083056629141,0.7261526474414177,x_1_1_12_1,x_1_1_12_2,x_1_1_12_3
12,TP_M_13,Chicken_Fajita_Burrito,Main,7.717499999999999,1 Burrito,790,25.0,4.5,0.0,10,1880,117,9,103,41,0.9399315599186788,0.9276710844193126,0.8868056901408188,1.1102230246251565e-16,0.250996015936255,1.0,0.875,0.9928825622775801,0.9428571428571428,6.816144055549788,0.8832062268286088,x_1_1_13_1,x_1_1_13_2,x_1_1_13_3
13,TP_M_14,Carne_Asada_Burrito,Main,8.2425,1 Burrito,790,31.0,6.0,0.0,10,2105,61,10,95,35,0.01896947416020276,0.995913329343005,0.8330981166551059,0.07766990291262144,0.16135458167330674,1.0,0.8333333333333334,0.9928825622775801,1.0,5.913221300355154,0.7174062845441498,x_1_1_14_1,x_1_1_14_2,x_1_1_14_3
14,TP_M_15,Street_Corn_Burrito_Bowl,Main,7.717499999999999,345,470,23.0,8.0,0.0,10,1120,31,8,54,14,0.00019291821507336747,0.8883930199095352,0.6041701729294646,0.47572815533980584,0.5537848605577689,1.0,0.7777777777777778,0.9928825622775801,0.8380952380952381,6.131024705102242,0.7944314486689009,x_1_1_15_1,x_1_1_15_2,x_1_1_15_3
15,TP_M_16,Chicken_Fajita_Burrito_Bowl,Main,7.717499999999999,480,520,19.0,3.5,0.0,10,1230,117,9,58,32,0.9399315599186788,0.7911481423039214,0.8035398758734882,0.4368932038834952,0.5099601593625498,1.0,0.9027777777777778,0.9928825622775801,0.9428571428571428,7.319990424254634,0.9484924424042286,x_1_1_16_1,x_1_1_16_2,x_1_1_16_3
16,TP_M_17,Carne_Asada_Burrito_Bowl,Main,8.2425,440,520,25.0,5.0,0.0,10,1455,61,10,50,26,0.01896947416020276,0.9276710844193126,0.7402610104889075,0.5145631067961165,0.42031872509960155,1.0,0.8611111111111112,0.9928825622775801,1.0,6.475777074352833,0.7856569092329795,x_1_1_17_1,x_1_1_17_2,x_1_1_17_3
17,TP_M_18,Honey_Garlic_Pork,Main,8.2425,335,430,10.0,1.0,0.0,15,750,72,5,16,14,0.06593352674876823,0.5281104038591306,0.6041701729294646,0.8446601941747574,0.701195219123506,1.0,0.9722222222222222,0.9893238434163701,0.5238095238095238,6.229425106283743,0.7557688936953282,x_1_1_18_1,x_1_1_18_2,x_1_1_18_3
18,TP_M_19,Honey_Garlic_Tempeh,Main,7.4925,335,560,11.0,1.0,0.0,0,640,91,11,25,24,0.32660486098069613,0.5578082331178843,0.718212362798579,0.7572815533980582,0.7450199203187251,1.0,0.9722222222222222,1.0,1.0,7.0771491528361645,0.9445644514963183,x_1_1_19_1,x_1_1_19_2,x_1_1_19_3
